Аллергология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"АСИТ (без стоимости препарата), 1 процедура",0,900,0,10,
Ингаляция абмроксол,0,400,0,15,
Ингаляция амброксол + беродуал,0,600,0,15,
Ингаляция амброксол + пульмикорт,0,600,0,15,
Пикфлоуметрия,0,300,0,10,
Пикфлоуметрия с бронхолитиком,0,600,0,10,
Прием аллерголога - иммунолога (первично),0,2000,0,30,B01.002.001
Прием аллерголога - иммунолога (повторно),0,2000,0,30,B01.002.002
"Прием врача аллерголога-иммунолога + АСИТ (без стоимости препарата), 1 процедура",0,2900,0,30,
Прием детского аллерголога - иммунолога (первично),0,2000,0,30,
Прием детского аллерголога - иммунолога (повторно),0,2000,0,30,
АНАЛИЗЫ,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
13С - уреазный дыхательный тест (H. pylori),2500,2500,2500,15,A07.16.006
Анализы,200,200,200,10,
Анализы для седации (ОАК+Коагулограмма),1100,1100,1100,15,
ВЛОК (внутривенное лазерное облучение крови) курс 5 процедур по 20 мин,4000,4000,4000,20,"A22.13.001.1
"
Внутривенная инъекция,400,400,400,10,"А11.12.003
"
Внутривенное лазерное облучение крови ( ВЛОК ),1000,1000,1000,30,"A22.13.001
"
Внутримышечная инъекция,250,250,250,10,"А11.02.002
"
Внутримышечная инъекция (с лекарственным препаратом),500,500,500,5,"А11.02.002.1
"
Внутримышечная инъекция при острой боли,300,300,300,5,"А11.02.002.2
"
"Водородно-метановый дыхательный тест с лактулозой (СИБР, синдром избыточного бактериального роста в тонкой кишке)",2700,2700,2700,15,
Измерение глюкозы,150,150,150,5,
Капельница (1 час) с лекарственным препаратом (1 категория),1500,1500,1500,60,"A11.12.003.1
"
Капельница (1 час) с лекарственным препаратом (2 категория),1800,1800,1800,60,"A11.12.003.2
"
Капельница (1час) без лекарственного препарата,1000,1000,1000,60,"A11.12.003.3
"
Капельница (2 часа) без лекарственного препарата,0,0,2000,120,
Капельница (без лекарственного препарата),800,800,800,30,"A11.12.003.4
"
Капельница с лекарственным препаратом (1 категория),1200,1200,1200,60,A11.12.003.5
Капельница с лекарственным препаратом (2 категория),1500,1500,1500,60,"A11.12.003.6
"
Перевязка у хирурга.,0,1,0,30,
ПЦР,1600,1600,1600,20,
Гастроэнтерология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Консультация гастроэнтеролога (первичная),2000,2000,2000,30,"В01.004.001
"
Консультация гастроэнтеролога (повторная),2000,2000,2000,30,В01.004.002
Консультация гастроэнтеролога (Подбор индивидуальной программы лечения и питания),0,3800,0,60,"В01.004.001
"
Консультация гастроэнтеролога 1 час + Узи органов брюшной полости,0,5100,0,90,
Консультация детского гастроэнтеролога (первичная),0,2300,0,40,"В01.004.001
"
Консультация детского гастроэнтеролога (повторная),0,2300,0,40,В01.004.002
Консультация детского гастроэнтеролога (подбор индивидуальной программы лечения и питания),0,3800,0,60,"В01.004.001
"
Гинекология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Бужирование цервикального канала,2100,2100,0,10,А16.20.005.001
Введение / извлечение влагалищного поддерживающего кольца (пессария),1500,1500,0,10,"А11.20.041
А11.20.042
"
"Забор мазка (ПЦР, микробиологи, цитология, бак.посев)",450,450,0,10,"А11.20.005
А11.20.002
"
"Забор мазка (ПЦР, микробиологи, цитология, бак.посев) без приема гинеколога",600,600,0,10,"А11.20.005

А11.20.002
"
Кольпоскопия электронная,1800,1800,0,30,"А03.20.001
"
Консультация врача -гинеколога по беременности первичная,2000,2000,0,30,B01.001.004
Консультация врача -гинеколога по беременности повторная,2000,2000,0,30,"B01.001.005
"
Консультация врача гинеколога по результатам анализов,1000,1000,0,30,
Консультация врача-гинеколога (повторный прием),2000,2000,0,30,"B01.001.002 
"
Консультация врача-гинеколога первичная,2000,2000,0,30,"B01.001.001 
"
"Консультация врача-гинеколога первичная + Программа ""Женское здоровье"" (УЗИ щитовидной железы с периферическими узлами, УЗИ органов малого таза (трансвагинально), УЗИ молочных желез с периферическими лимфоузлами)",6000,6000,0,90,"B01.001.001
А04.22.001
А04.20.001.001
A04.20.002"
Консультация врача-гинеколога первичная + УЗИ органов малого таза (трансвагинально),3300,3300,0,60,"B01.001.001 
A04.30.010
"
Пайпель биопсия эндометрия,1700,1700,0,10,"A11.20.003
"
Панч-биопсия вульвы,2500,2500,0,10,
"Перевязка, обработка швов",300,0,0,10,A16.01.004
Санация влагалища лекарственным препаратом,600,600,0,10,А14.20.001
Седация (медикаментозный сон) в гинекологии,0,5000,0,10,
Снятие послеоперационных швов,600,1000,0,10,"A16.30.069
"
Тампонация влагалища лекарственным препаратом,600,600,0,10,"A11.20.013
"
Удаление ВМС,1500,1500,0,10,"А11.20.015
"
"Удаление единичных папиллом, кондилом (до 3-х) аппаратом Фотек",1600,1600,0,10,A16.01.017.001
Удаление инородного тела из влагалища,1100,0,0,10,A16.20.059
"Удаление множественных  папиллом, кондилом (более 3-х) аппаратом Фотек",3200,3200,0,10,A16.01.017.001
УЗИ по беременности I триместр,1500,1500,0,10,"А04.30.001.001
"
Установка ВМС (без стоимости спирали),2500,2500,0,10,"А11.20.014
"
Установка ВМС Мирена (без стоимости спирали),5000,5000,0,10,
Электродеструкция наботовых кист шейки матки,5000,5000,0,10,A16.20.036.001
Электродеструкция участков шейки матки (Электроконизация),9000,9000,0,60,A16.20.036.001
Дерматологическая хирургия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Анестезия безинъекционная (5% гель Эмла) 1 зона,0,600,0,30,В01.003.004.004
Анестезия инъекционная (ультракаин/артикаин),0,700,0,30,В01.003.004.001
Анестезия инъекционная (ультракаин/артикаин) + 1 карпула,0,300,0,30,В01.003.004.001
Гистология,0,2500,0,5,16.0.А26.110
Гормонотерапия рубцов (препарат Дипроспан),0,2000,0,30,
Гормонотерапия рубцов (препарат Кеналог),0,1600,0,30,
"Консультация врача по лазерной хирургии  (повторная, в течение 2-х месяцев)",0,1500,0,30,B01.008.004
"Консультация врача по лазерной хирургии (повторная, более 2-х месяцев)",0,1700,0,30,B01.008.004
Консультация врача-по лазерной хирургии (первичная),0,2000,0,30,B01.008.003
Лазерная шлифовка кожи (1 см),0,1100,0,30,A22.01.002
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 1мм -единичный до 10шт,0,550,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 2 мм -единичный,0,1900,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 3 мм -единичный,0,2600,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 4 мм -единичный,0,3600,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 5 мм -единичный,0,5200,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 6 мм -единичный,0,6900,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 7мм -единичный,0,7900,0,5,A16.01.017
Лазерное удаление 1 единицы образований на коже век и слизистых оболочек диаметром - до 8мм -единичный,0,9500,0,5,A16.01.017
